Optimizer,Learning Rate,F1-score,Validation Loss,Stability,Training Time
SGD,1e-05,0.4426229508196721,0.6950054650306702,Unstable,89.50893187522888
SGD,2e-05,0.417607223476298,0.6941599206924438,Unstable,89.17659902572632
SGD,5e-05,0.40103492884864167,0.6918418025970459,Stable,88.99108695983887
SGD,0.0001,0.5305867665418227,0.688171178817749,Stable,88.98186492919922
AdamW,1e-05,0.8891069676153092,0.28671771866083146,Stable,93.76175332069397
AdamW,2e-05,0.8941176470588236,0.26937066853046415,Stable,93.83098220825195
AdamW,5e-05,0.8979793001478561,0.26329541915655136,Stable,93.82060146331787
AdamW,0.0001,0.8978786383818451,0.25358814424276355,Stable,93.75825309753418
AdaFactor,1e-05,0.8866080156402737,0.2878862699270248,Stable,98.21645045280457
AdaFactor,2e-05,0.8945561549779304,0.26739157634973526,Stable,98.2321949005127
AdaFactor,5e-05,0.897131552917903,0.25924249562621116,Stable,98.4823226928711
AdaFactor,0.0001,0.8898678414096917,0.26785763551294806,Stable,98.41041564941406
LAMB,1e-05,0.4869791666666667,0.6884169583320617,Stable,101.28960514068604
LAMB,2e-05,0.6252330640149161,0.679951497554779,Stable,101.21613073348999
LAMB,5e-05,0.7876890975482524,0.6158094816207885,Stable,101.30149793624878
LAMB,0.0001,0.8687374749498998,0.3886648987531662,Stable,101.44042730331421
Lion,1e-05,0.8973723351512147,0.2709650931507349,Stable,91.86523485183716
Lion,2e-05,0.9051597051597051,0.2511450283229351,Stable,91.90407752990723
Lion,5e-05,0.8753104818678589,0.2915494846403599,Stable,91.94630074501038
Lion,0.0001,0.8207282913165266,0.4396687819957733,Stable,90.77895593643188
